VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,E.V_Type,Electric Range,Base MSRP,Vehicle Location
5YJSA1E29G,Snohomish,Mukilteo,WA,98275.0,2016,TESLA,MODEL S,BEV,210.0,0.0,POINT (-122.29943 47.912654)
5YJXCBE20H,Yakima,Yakima,WA,98902.0,2017,TESLA,MODEL X,BEV,200.0,0.0,POINT (-120.530331 46.59534)
JTMEB3FV9R,Yakima,Moxee,WA,98936.0,2024,TOYOTA,RAV4 PRIME,PHEV,42.0,0.0,POINT (-120.3552229 46.550869)
KNDCM3LD2N,King,Seattle,WA,98105.0,2022,KIA,NIRO,PHEV,26.0,0.0,POINT (-122.304212 47.664294)
5YJYGDEEXL,Snohomish,Everett,WA,98204.0,2020,TESLA,MODEL Y,BEV,291.0,0.0,POINT (-122.2507211 47.8976713)
1N4AZ0CP5D,Snohomish,Edmonds,WA,98020.0,2013,NISSAN,LEAF,BEV,75.0,0.0,POINT (-122.3757836 47.800042)
KNDCE3LG4L,Snohomish,Everett,WA,98208.0,2020,KIA,NIRO,BEV,239.0,0.0,POINT (-122.2032349 47.8956271)
1N4AZ0CP8D,Snohomish,Everett,WA,98208.0,2013,NISSAN,LEAF,BEV,75.0,0.0,POINT (-122.2032349 47.8956271)
1N4AZ0CP0F,Clallam,Sequim,WA,98382.0,2015,NISSAN,LEAF,BEV,84.0,0.0,POINT (-123.1090862 48.0805816)
5YJ3E1EB6K,Yakima,Wapato,WA,98951.0,2019,TESLA,MODEL 3,BEV,220.0,0.0,POINT (-120.448617 46.4426932)
5YJYGDEF7L,Kitsap,Port Orchard,WA,98366.0,2020,TESLA,MODEL Y,BEV,291.0,0.0,POINT (-122.6064912 47.5236145)
5LMYJ9YYXP,Snohomish,Snohomish,WA,98290.0,2023,LINCOLN,AVIATOR,PHEV,21.0,0.0,POINT (-122.0483457 47.9435765)
4JGFB4GB5R,Yakima,Yakima,WA,98903.0,2024,MERCEDES-BENZ,GLE-CLASS,PHEV,48.0,0.0,POINT (-120.5807155 46.5654909)
YV4H60PF7S,Chelan,Manson,WA,98831.0,2025,VOLVO,XC90,PHEV,32.0,0.0,POINT (-120.147741 47.8988976)
5YJSA1E11G,Snohomish,Lynnwood,WA,98036.0,2016,TESLA,MODEL S,BEV,210.0,0.0,POINT (-122.287143 47.812199)
7SAYGDEE5P,Snohomish,Bothell,WA,98012.0,2023,TESLA,MODEL Y,BEV,0.0,0.0,POINT (-122.206146 47.839957)
7SAYGDEFXP,Snohomish,Bothell,WA,98021.0,2023,TESLA,MODEL Y,BEV,0.0,0.0,POINT (-122.2107298 47.7977268)
3FA6P0SU6F,Skagit,Mount Vernon,WA,98273.0,2015,FORD,FUSION,PHEV,19.0,0.0,POINT (-122.3313378 48.4221418)
5YJ3E1EB0J,Skagit,Anacortes,WA,98221.0,2018,TESLA,MODEL 3,BEV,215.0,0.0,POINT (-122.6330168 48.4948674)
5YJYGDEE0L,Walla Walla,College Place,WA,99324.0,2020,TESLA,MODEL Y,BEV,291.0,0.0,POINT (-118.3885398 46.0448318)
WP0AB2Y19L,King,Seattle,WA,98144.0,2020,PORSCHE,TAYCAN,BEV,203.0,0.0,POINT (-122.3016563 47.5858977)
5YJSA1E58P,Yakima,Moxee,WA,98936.0,2023,TESLA,MODEL S,BEV,0.0,0.0,POINT (-120.3552229 46.550869)
JTMEB3FVXN,Yakima,Yakima,WA,98903.0,2022,TOYOTA,RAV4 PRIME,PHEV,42.0,0.0,POINT (-120.5807155 46.5654909)
5YJSA1H27E,Chelan,Leavenworth,WA,98826.0,2014,TESLA,MODEL S,BEV,208.0,69900.0,POINT (-120.6860209 47.7095564)
5YJ3E1EB8K,Kittitas,Ellensburg,WA,98926.0,2019,TESLA,MODEL 3,BEV,220.0,0.0,POINT (-120.5264946 47.005576)
WBY8P6C07L,Snohomish,Lynnwood,WA,98037.0,2020,BMW,I3,BEV,153.0,0.0,POINT (-122.283973 47.838697)
1G1FY6S04P,Whitman,Pullman,WA,99163.0,2023,CHEVROLET,BOLT EUV,BEV,0.0,0.0,POINT (-117.1770648 46.7329687)
1G1RA6S53J,Thurston,Olympia,WA,98512.0,2018,CHEVROLET,VOLT,PHEV,53.0,0.0,POINT (-122.957046 46.991391)
WA1H2BFZ5N,Yakima,Yakima,WA,98908.0,2022,AUDI,Q4,BEV,0.0,0.0,POINT (-120.611068 46.596645)
5YJ3E1EB9L,King,Seattle,WA,98107.0,2020,TESLA,MODEL 3,BEV,322.0,0.0,POINT (-122.3788863 47.6702397)
